OBJECTID,Name,Label,Park_ID,Park_Acres,ShapeSTArea,ShapeSTLength
1096,Meyers Park,Meyers Park,PN5035,6.34,276337.0216502,2159.21180879125
1097,Unknown,Unknown,PN5036,8.12,353813.713186214,2552.82087511933
1098,Queens Park,Queens Park,PN5037,2.23,96946.0718737272,1811.19196749335
1099,Unknown,Unknown,PN5038,2.31,100477.792285415,2103.06315615959
1100,Unknown,Unknown,PN5041,3.42,149090.387057765,1922.0737962461
1101,Reveille Park,Reveille Park,PN5043,13.38,582732.389021808,3440.25367619562
1102,Unknown,Unknown,PN5044,2.05,89322.4742695484,1890.02931489851
1103,Beech-White Park,Beech-White Park,PN5045,9.19,400228.346302592,3804.05917220728
1104,Astrodome/Reliant Stadium,Astrodome/Reliant Stadium,PN5046,344.14,14990912.4300616,37901.8316356518
1105,COLUMBIA LAKES GOLF COURSE,COLUMBIA LAKES GOLF COURSE,PN505,11.77,512824.83304733,4111.93839096253
1106,Unknown,Unknown,PN5051,137.61,5994401.00880763,19451.0132856593
1107,City of Houston Park,City of Houston Park,PN5053,4.19,182509.914112263,2653.49235734968
1108,City of Houston Park,City of Houston Park,PN5054,5.24,228411.789882783,1924.34173981869
1109,Unknown,Unknown,PN5055,2.4,104742.984361347,1298.51049988802
1110,Unknown,Unknown,PN5057,3.81,166064.6642307,3744.55267616384
1111,Unknown,Unknown,PN5058,1.31,56878.3079181879,958.003500448511
1112,COLUMBIA LAKES GOLF COURSE,COLUMBIA LAKES GOLF COURSE,PN506,4.58,199342.128195471,2263.81256287991
1113,Meadow Creek Park,Meadow Creek Park,PN5060,9.72,423612.278018234,2676.25714947619
