,NRI_ObjectID,National Risk Index ID,State Name,State Name Abbreviation,County Name,Census Tract,Population (2020),Area (sq mi),Hurricane - Number of Events,Hurricane - Annualized Frequency,Hurricane - Expected Annual Loss Rate - National Percentile
483,73471,T48201410802,Texas,TX,Harris,410802,1631,0.2,19,0.18,87.65
484,73472,T48201410900,Texas,TX,Harris,410900,3535,0.29,20,0.18,87.25
485,73473,T48201411001,Texas,TX,Harris,411001,1986,0.18,19,0.18,87.5
486,73474,T48201411002,Texas,TX,Harris,411002,2186,0.13,19,0.18,87.13
487,73475,T48201411003,Texas,TX,Harris,411003,1614,0.26,19,0.18,87.56
488,73476,T48201411100,Texas,TX,Harris,411100,3420,0.53,19,0.18,86.98
489,73477,T48201411200,Texas,TX,Harris,411200,1759,1.36,19,0.18,87.45
490,73478,T48201411301,Texas,TX,Harris,411301,2119,0.35,17,0.18,87.35
491,73479,T48201411302,Texas,TX,Harris,411302,3217,0.21,17,0.18,87.59
492,73480,T48201411400,Texas,TX,Harris,411400,2774,0.68,19,0.18,87.07
493,73481,T48201411503,Texas,TX,Harris,411503,3478,0.35,19,0.18,86.94
494,73482,T48201411504,Texas,TX,Harris,411504,2329,0.36,18,0.18,86.98
495,73483,T48201411505,Texas,TX,Harris,411505,2826,0.33,18,0.18,86.89
496,73484,T48201411506,Texas,TX,Harris,411506,2273,0.15,18,0.18,87.25
497,73485,T48201411507,Texas,TX,Harris,411507,2093,0.12,18,0.18,87.51
498,73486,T48201411600,Texas,TX,Harris,411600,2933,0.53,18,0.18,87.52
499,73487,T48201411700,Texas,TX,Harris,411700,3793,0.47,18,0.18,87.78
500,73488,T48201411801,Texas,TX,Harris,411801,3257,0.48,18,0.18,87.47
501,73489,T48201411802,Texas,TX,Harris,411802,2758,0.36,19,0.18,86.91
502,73490,T48201411901,Texas,TX,Harris,411901,2079,0.38,20,0.18,87.09
503,73491,T48201411902,Texas,TX,Harris,411902,2135,0.33,20,0.18,87.05
504,73492,T48201412000,Texas,TX,Harris,412000,3744,0.58,19,0.18,86.89
505,73493,T48201412201,Texas,TX,Harris,412201,2882,0.38,18,0.18,87.6
506,73494,T48201412202,Texas,TX,Harris,412202,3093,0.56,21,0.18,86.84
507,73495,T48201412300,Texas,TX,Harris,412300,6837,0.93,21,0.18,86.9
508,73496,T48201412400,Texas,TX,Harris,412400,4503,0.66,21,0.18,86.86
509,73497,T48201412500,Texas,TX,Harris,412500,1835,0.25,21,0.18,87.57
510,73498,T48201412600,Texas,TX,Harris,412600,3801,0.47,21,0.18,86.95
511,73499,T48201412700,Texas,TX,Harris,412700,3370,0.8,21,0.18,87.56
512,73500,T48201412800,Texas,TX,Harris,412800,4905,0.8,21,0.18,87.63
513,73501,T48201412901,Texas,TX,Harris,412901,1577,0.33,21,0.2,88.2
514,73502,T48201412902,Texas,TX,Harris,412902,3126,0.49,22,0.21,88.31
515,73503,T48201413000,Texas,TX,Harris,413000,3507,0.63,21,0.18,87.7
516,73504,T48201413100,Texas,TX,Harris,413100,3088,0.56,21,0.18,87.26
517,73505,T48201413203,Texas,TX,Harris,413203,1547,0.1,21,0.18,87.69
518,73506,T48201413204,Texas,TX,Harris,413204,1077,0.09,21,0.18,87.79
519,73507,T48201413205,Texas,TX,Harris,413205,1458,0.12,21,0.18,87.61
520,73508,T48201413206,Texas,TX,Harris,413206,2813,0.1,21,0.18,87.97
521,73509,T48201413301,Texas,TX,Harris,413301,4489,0.56,22,0.19,88.03
522,73510,T48201413302,Texas,TX,Harris,413302,3209,0.69,22,0.2,88.21
523,73511,T48201420100,Texas,TX,Harris,420100,2773,0.45,22,0.21,88.48
524,73512,T48201420200,Texas,TX,Harris,420200,2430,0.65,22,0.21,88.49
525,73513,T48201420300,Texas,TX,Harris,420300,3544,0.94,22,0.21,88.39
526,73514,T48201420400,Texas,TX,Harris,420400,3487,0.99,22,0.21,88.39
527,73515,T48201420500,Texas,TX,Harris,420500,3845,0.91,22,0.21,88.43
528,73516,T48201420600,Texas,TX,Harris,420600,2279,0.47,22,0.21,88.43
529,73517,T48201420700,Texas,TX,Harris,420700,3039,0.9,22,0.21,88.42
530,73518,T48201420800,Texas,TX,Harris,420800,2274,0.83,21,0.21,88.17
531,73519,T48201420900,Texas,TX,Harris,420900,6386,1.36,21,0.18,86.92
532,73520,T48201421000,Texas,TX,Harris,421000,2567,0.73,21,0.18,86.85
533,73521,T48201421101,Texas,TX,Harris,421101,3257,0.48,17,0.18,87.34
534,73522,T48201421103,Texas,TX,Harris,421103,1473,0.13,20,0.18,86.83
535,73523,T48201421104,Texas,TX,Harris,421104,4376,0.2,17,0.18,87.9
536,73524,T48201421203,Texas,TX,Harris,421203,1782,0.09,17,0.18,88.09
537,73525,T48201421204,Texas,TX,Harris,421204,2428,0.09,17,0.18,88.07
538,73526,T48201421205,Texas,TX,Harris,421205,2315,0.16,20,0.17,86.98
539,73527,T48201421206,Texas,TX,Harris,421206,2054,0.06,20,0.18,88.03
540,73528,T48201421301,Texas,TX,Harris,421301,3576,0.1,20,0.17,86.82
541,73529,T48201421302,Texas,TX,Harris,421302,4423,0.47,20,0.17,86.11
542,73530,T48201421401,Texas,TX,Harris,421401,3517,0.11,20,0.18,87.23
543,73531,T48201421402,Texas,TX,Harris,421402,3284,0.06,20,0.18,88.14
544,73532,T48201421403,Texas,TX,Harris,421403,4597,0.26,20,0.18,87.39
545,73533,T48201421501,Texas,TX,Harris,421501,3528,0.34,20,0.18,86.97
546,73534,T48201421502,Texas,TX,Harris,421502,2838,0.25,20,0.18,87.76
547,73535,T48201421601,Texas,TX,Harris,421601,3112,0.24,20,0.18,87.44
548,73536,T48201421602,Texas,TX,Harris,421602,3409,0.33,20,0.18,87.44
549,73537,T48201421700,Texas,TX,Harris,421700,4594,0.74,21,0.2,88.14
